id,name,generic,vendor,fda_code
1,Degree,Aluminum Zirconium Tetrachlorohydrex GLY,Conopco Inc. d/b/a Unilever,64942-1207
2,Warfarin Sodium,Warfarin Sodium,Cadila Healthcare Limited,65841-052
3,7 Select Cough DM,dextromethorphan polistirex,7-Eleven,10202-384
4,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Beige,OCTINOXATE,BCM Cosmetique SAS,61589-5312
5,Primula Scilla,Primula Scilla,Uriel Pharmacy Inc.,48951-8068
6,Cefdinir,Cefdinir,Teva Pharmaceuticals USA Inc,0093-4136
7,Phenylhistine DH,chlorpheniramine maleate and codeine phosphate and pseudoephedrine hcl,Qualitest Pharmaceuticals,0603-1520
8,Advanced Petrolatum,petrolatum,Ultra Seal Corporation,42213-042
9,Publix Baby,"AVOBENZONE, HOMOSALATE, OCTISALATE, OCTOCRYLENE, OXYBENZONE",Publix Super Markets Inc,56062-704
10,Calcium Acetate,Calcium Acetate,Sandoz Inc,0781-2672
11,ADSOL Red Cell Preservation Solution System in Plastic Container (PL 146 Plastic),Anticoagulant Citrate Phosphate Dextrose (CPD) Solution and ADSOL Preservation Solution,"Fenwal, Inc.",0942-6444
12,EMLA,LIDOCAINE,"APP Pharmaceuticals, LLC",63323-290
13,Glyburide,Glyburide,Contract Pharmacy Services-PA,67046-240
14,Glimepiride,Glimepiride,"Carlsbad Technology, Inc.",61442-116
15,Xyzal,levocetirizine dihydrochloride,"UCB, Inc.",50474-921
16,CTx4 Gel 1100,sodium fluoride,Oral BioTech,61578-204
17,SNAIL REPAIR BLEMISH BALM,"OCTINOXATE, TITANIUM DIOXIDE, ZINC OXIDE","Coson Co., Ltd.",62171-030
18,Alprazolam,Alprazolam,"PD-Rx Pharmaceuticals, Inc.",43063-370
19,Dicyclomine Hydrochloride,Dicyclomine Hydrochloride,State of Florida DOH Central Pharmacy,53808-0984
20,Indapamide,Indapamide,Actavis Elizabeth LLC,0228-2597
21,ECZEMA THERAPY,OATMEAL,"KATE SOMERVILLE SKINCARE, LLC",43479-301
22,up and up ibuprofen,Ibuprofen,Target Corporation,11673-685
23,leader gas relief,Simethicone,Cardinal Health,37205-292
24,Escitalopram,Escitalopram,Camber Pharmaceuticals,31722-249
25,H E B,Fluoride,HEB,37808-230
26,Promethazine DM,Promethazine DM,Stat Rx USA,16590-292
27,CENTURY 21 CHRONIC STRESS,"AMERICAN GINSENG, GOLDENSEAL, CEANOTHUS AMERICANUS LEAF, ACTIVATED CHARCOAL, OYSTER SHELL CALCIUM CARBONATE, CRUDE, SODIUM CHLORIDE, STRYCHNOS NUX-VOMICA SEED, SOLIDAGO VIRGAUREA FLOWERING TOP, CYCLAMEN PURPURASCENS TUBER, TARAXACUM OFFICINALE ROOT, ARSENIC TRIOXIDE, PHOSPHORUS, CALCIUM SULFIDE, TRIFOLIUM PRATENSE FLOWER, KEROSENE, FUCUS VESICULOSUS","21st Century Homeopathics, Inc",63972-005
28,Boniva,ibandronate sodium,"Physicians Total Care, Inc.",54868-5322
29,Divalproex Sodium Extended Release,Divalproex Sodium Extended Release,REMEDYREPACK INC.,49349-226
30,Flumazenil,FLUMAZENIL,"APP Pharmaceuticals, LLC",63323-424
31,Coppertone Tanning Dry Oil,"Avobenzone, Homosalate, Octisalate, and Oxybenzone","MSD Consumer Care, Inc.",11523-7170
32,IDOLE BLACK,HYDROQUINONE,International Beauty Exchange,66129-412
33,Aspirin,Aspirin,"Geiss, Destin & Dunn, Inc (Goodsense)",50804-227
34,COUGH HP,"Arsenic Trioxide, Bryonia Alba Root, Cupric Acetate, Drosera Rotundifolia, Ipecac, Potassium Carbonate, Phosphorus, Pulsatilla Vulgaris, Spongia Officinalis Skeleton, Roasted","Natural Creations, Inc.",43406-0014
35,Pyrazinamide,Pyrazinamide,REMEDYREPACK INC.,24236-763
36,Escitalopram,Escitalopram Oxalate,BluePoint Laboratories,68001-196
37,Lucky,pyrithione zinc,Delta Brands Inc,20276-046
38,Haloperidol,Haloperidol,Clinical Solutions Wholesale,58118-1396
39,Haemonetics Anticoagulant Citrate Dextrose Solution,"ANHYDROUS CITRIC ACID, TRISODIUM CITRATE DIHYDRATE, DEXTROSE MONOHYDRATE",Haemonetics Corporation,57826-426
40,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,"Hospira, Inc.",0409-1283
41,Undecylenic Acid,Maximum Strength Antifungal Liquid Solution,Target Corporation,11673-259
42,RELENZA,zanamivir,"Physicians Total Care, Inc.",54868-4377
43,Dr. Scholls,Salicylic Acid,"MSD Consumer Care, Inc.",11523-0465
44,LOreal Paris Advanced Suncare Silky Sheer Face 30 Broad Spectrum SPF 30 Sunscreen,"Avobenzone, Homosalate, Octisalate and Octocrylene",L?Oreal USA Products Inc,49967-555
